bin_left,bin_right,count_tiny,count_base
0.0,0.008333333767950535,0,1
0.008333333767950535,0.01666666753590107,0,0
0.01666666753590107,0.02500000037252903,0,0
0.02500000037252903,0.03333333507180214,0,0
0.03333333507180214,0.0416666679084301,0,2
0.0416666679084301,0.05000000074505806,0,0
0.05000000074505806,0.05833333358168602,0,0
0.05833333358168602,0.06666667014360428,0,0
0.06666667014360428,0.07500000298023224,0,0
0.07500000298023224,0.0833333358168602,0,1
0.0833333358168602,0.09166666865348816,0,2
0.09166666865348816,0.10000000149011612,0,2
0.10000000149011612,0.10833333432674408,0,4
0.10833333432674408,0.11666666716337204,0,3
0.11666666716337204,0.125,0,2
0.125,0.13333334028720856,0,2
0.13333334028720856,0.14166666567325592,0,3
0.14166666567325592,0.15000000596046448,0,4
0.15000000596046448,0.15833333134651184,0,2
0.15833333134651184,0.1666666716337204,0,6
0.1666666716337204,0.17499999701976776,0,9
0.17499999701976776,0.18333333730697632,0,10
0.18333333730697632,0.19166666269302368,0,7
0.19166666269302368,0.20000000298023224,0,10
0.20000000298023224,0.2083333283662796,0,6
0.2083333283662796,0.21666666865348816,0,18
0.21666666865348816,0.22499999403953552,0,16
0.22499999403953552,0.23333333432674408,0,23
0.23333333432674408,0.24166665971279144,0,34
0.24166665971279144,0.25,0,24
0.25,0.25833332538604736,0,28
0.25833332538604736,0.2666666805744171,0,33
0.2666666805744171,0.2750000059604645,0,34
0.2750000059604645,0.28333333134651184,0,67
0.28333333134651184,0.2916666567325592,0,52
0.2916666567325592,0.30000001192092896,0,53
0.30000001192092896,0.3083333373069763,0,58
0.3083333373069763,0.3166666626930237,0,80
0.3166666626930237,0.32499998807907104,0,75
0.32499998807907104,0.3333333432674408,0,105
0.3333333432674408,0.34166666865348816,0,105
0.34166666865348816,0.3499999940395355,0,126
0.3499999940395355,0.3583333194255829,0,99
0.3583333194255829,0.36666667461395264,0,130
0.36666667461395264,0.375,0,158
0.375,0.38333332538604736,0,175
0.38333332538604736,0.3916666805744171,0,172
0.3916666805744171,0.4000000059604645,0,204
0.4000000059604645,0.40833333134651184,1,212
0.40833333134651184,0.4166666567325592,0,253
0.4166666567325592,0.42500001192092896,2,304
0.42500001192092896,0.4333333373069763,0,360
0.4333333373069763,0.4416666626930237,4,398
0.4416666626930237,0.44999998807907104,7,457
0.44999998807907104,0.4583333432674408,6,489
0.4583333432674408,0.46666666865348816,15,536
0.46666666865348816,0.4749999940395355,29,605
0.4749999940395355,0.4833333194255829,24,556
0.4833333194255829,0.49166667461395264,34,664
0.49166667461395264,0.5,62,805
0.5,0.5083333253860474,78,790
0.5083333253860474,0.5166666507720947,118,855
0.5166666507720947,0.5249999761581421,161,967
0.5249999761581421,0.5333333611488342,253,1014
0.5333333611488342,0.5416666865348816,335,1121
0.5416666865348816,0.550000011920929,494,1199
0.550000011920929,0.5583333373069763,722,1437
0.5583333373069763,0.5666666626930237,967,1529
0.5666666626930237,0.574999988079071,1322,1689
0.574999988079071,0.5833333134651184,2040,1975
0.5833333134651184,0.5916666388511658,2488,2099
0.5916666388511658,0.6000000238418579,3730,2336
0.6000000238418579,0.6083333492279053,4441,2646
0.6083333492279053,0.6166666746139526,6075,2755
0.6166666746139526,0.625,6847,3170
0.625,0.6333333253860474,9354,3467
0.6333333253860474,0.6416666507720947,10109,3789
0.6416666507720947,0.6499999761581421,13258,4368
0.6499999761581421,0.6583333611488342,15515,5078
0.6583333611488342,0.6666666865348816,15669,5480
0.6666666865348816,0.675000011920929,20382,6437
0.675000011920929,0.6833333373069763,22839,7501
0.6833333373069763,0.6916666626930237,25680,8054
0.6916666626930237,0.699999988079071,28448,9851
0.699999988079071,0.7083333134651184,31479,11256
0.7083333134651184,0.7166666388511658,34888,12928
0.7166666388511658,0.7250000238418579,38929,15077
0.7250000238418579,0.7333333492279053,43084,18830
0.7333333492279053,0.7416666746139526,53349,22511
0.7416666746139526,0.75,53419,25251
0.75,0.7583333253860474,59731,31151
0.7583333253860474,0.7666666507720947,74524,36943
0.7666666507720947,0.7749999761581421,85237,46400
0.7749999761581421,0.7833333611488342,86524,52335
0.7833333611488342,0.7916666865348816,109983,65585
0.7916666865348816,0.800000011920929,125340,77060
0.800000011920929,0.8083333373069763,159081,94992
0.8083333373069763,0.8166666626930237,164354,111056
0.8166666626930237,0.824999988079071,207066,127190
0.824999988079071,0.8333333134651184,234324,151691
0.8333333134651184,0.8416666388511658,262469,177841
0.8416666388511658,0.8500000238418579,291930,189066
0.8500000238418579,0.8583333492279053,351506,226803
0.8583333492279053,0.8666666746139526,386232,248108
0.8666666746139526,0.875,453216,279547
0.875,0.8833333253860474,482153,312248
0.8833333253860474,0.8916666507720947,505290,347163
0.8916666507720947,0.8999999761581421,596019,396918
0.8999999761581421,0.9083333611488342,599842,435144
0.9083333611488342,0.9166666865348816,577885,468513
0.9166666865348816,0.925000011920929,607150,531460
0.925000011920929,0.9333333373069763,561762,572750
0.9333333373069763,0.9416666626930237,503541,635364
0.9416666626930237,0.949999988079071,402761,659986
0.949999988079071,0.9583333134651184,274606,689293
0.9583333134651184,0.9666666388511658,162099,670201
0.9666666388511658,0.9750000238418579,58825,545404
0.9750000238418579,0.9833333492279053,11318,336877
0.9833333492279053,0.9916666746139526,398,115837
0.9916666746139526,1.0,0,10984
